CODIGO DE PRODUCTO,CODIGO DE CLASE,DESCRPCION DE PRODUCTO
10326069-,103260,10326069-PLATYCODON O FLOR GLOBO CORTADA FRESCA
10326070-,103260,10326070-RETZIA CAPENSIS CORTADA FRESCA
10326071-,103260,10326071-RICINO COMÚN CORTADO FRESCO
10326072-,103260,10326072-NIEVE EN EL MONTE CORTADA FRESCA
10326073-,103260,10326073-SOLIDAGO TEÑIDA CORTADA FRESCA
10326074-,103260,10326074-SCILLA BLANCA CORTADA FRESCA
10326075-,103260,10326075-STACHYS BYZANTINA CORTADA FRESCA
10326076-,103260,10326076-FLOR DE PAJA CORTADA FRESCA
10326077-,103260,10326077-OSCULARIA SUCULENTA CORTADA FRESCA
10326078-,103260,10326078-FLOR DE TILLASANDIA CORTADA FRESCA
10326079-,103260,10326079-TRITELEIA CORTADA FRESCA
10326080-,103260,10326080-TRITOMA NARANJA O CHUZO CALIENTE CORTADA FRESCA ROJA
10326081-,103260,10326081-VERONICASTRUM VIRGINIANA CORTADA FRESCA
10326082-,103260,10326082-BROMELIA VRIESEA SPLENDENS CORTADA FRESCA
10326083-,103260,10326084-HIPERICIM O HIERBA DE SAN JUAN CORTADA FRESCA
10326084-,103260,10326085-SPIREA CORTADA FRESCA
10326085-,103260,10326086-YERBA DE SAN BONIFACIO CORTADA FRESCA
1032611-,103261,10326101-SELLO DE SALOMÓN (POLYGONATO) FALSO CORTADA FRESCA
1032612-,103261,10326102-SELLO DE SALOMÓN (POLYGONATO) VARIEGADO CORTADA FRESCA
1032621-,103262,10326201-TANACETO CORTADO FRESCO AMAZONAS
1032622-,103262,10326202-TANACETO CORTADO FRESCO VICTORIA DOBLE BLANCO
1032623-,103262,10326203-TANACETO CORTADO FRESCO VICTORIA SENCILLO BLANCO
1032624-,103262,10326204-TANACETO CORTADO FRESCO VEGMO AMARILLO
1032631-,103263,10326301-TRACHELIUM JADE CORTADA FRESCA
1032632-,103263,10326302-TRACHELIUM PÚRPURA CORTADA FRESCA
1032633-,103263,10326303-TRACHELIUM BLANCA CORTADA FRESCA
1032641-,103264,10326401-TUBEROSA CORTADA FRESCA DOBLE
1032642-,103264,10326402-TUBEROSA CORTADA FRESCA SENCILLA
1032651-,103265,10326501-TWEEDIA AZUL CORTADA FRESCA
1032652-,103265,10326502-TWEEDIA BLANCA CORTADA FRESCA
1032661-,103266,10326601-VERÓNICA CORTADA FRESCA ROSADA
1032662-,103266,10326602-VERÓNICA CORTADA FRESCA PÚRPURA
1032663-,103266,10326603-VERÓNICA CORTADA FRESCA BLANCA
1032671-,103267,10326701-WATSONIA CORTADA FRESCA ANARANJADA
1032672-,103267,10326702-WATSONIA CORTADA FRESCA ROSADA
1032673-,103267,10326703-WATSONIA CORTADA FRESCA ROJA
1032674-,103267,10326704-WATSONIA CORTADA FRESCA BLANCA
1033151-,103315,10331501-CRISANTEMO CORTADO FRESCO POMPÓN DELIROCK
1033152-,103315,10331502-CRISANTEMO CORTADO FRESCO POMPÓN DISCOVERY
1033153-,103315,10331503-CRISANTEMO CORTADO FRESCO POMPÓN FOCUS
1033154-,103315,10331504-CRISANTEMO CORTADO FRESCO POMPÓN JEANNE
1033155-,103315,10331505-CRISANTEMO CORTADO FRESCO POMPÓN LADY
1033156-,103315,10331506-CRISANTEMO CORTADO FRESCO POMPÓN LEIDI
1033157-,103315,10331507-CRISANTEMO CORTADO FRESCO POMPÓN LEXY
1033158-,103315,10331508-CRISANTEMO CORTADO FRESCO POMPÓN OLE
1033159-,103315,10331509-CRISANTEMO CORTADO FRESCO POMPÓN REVISE
10331510-,103315,10331510-CRISANTEMO CORTADO FRESCO POMPÓN ESTADISTA
10331511-,103315,10331511-CRISANTEMO CORTADO FRESCO POMPÓN DULCE
10331512-,103315,10331512-CRISANTEMO CORTADO FRESCO POMPÓN YOKO ONO
10331513-,103315,10331513-CRISANTEMO CORTADO FRESCO POMPÓN ZIP
1033161-,103316,10331601-CRISANTEMO CORTADO FRESCO POMPÓN ARTISTA ROSADO
1033162-,103316,10331602-CRISANTEMO CORTADO FRESCO POMPÓN ARTISTA AMARILLO
1033163-,103316,10331603-CRISANTEMO CORTADO FRESCO POMPÓN ATLANTIS ROSADO
1033164-,103316,10331604-CRISANTEMO CORTADO FRESCO POMPÓN ATLANTIS BLANCO
1033165-,103316,10331605-CRISANTEMO CORTADO FRESCO POMPÓN ATLANTIS AMARILLO
1033166-,103316,10331606-CRISANTEMO CORTADO FRESCO POMPÓN BENNIE JOLINK
1033167-,103316,10331607-CRISANTEMO CORTADO FRESCO POMPÓN BENNIE JOLINK AMARILLO
1033168-,103316,10331608-CRISANTEMO CORTADO FRESCO POMPÓN MANAGUA BRONCE
1033169-,103316,10331609-CRISANTEMO CORTADO FRESCO POMPÓN CLAVE
10331610-,103316,10331610-CRISANTEMO CORTADO FRESCO POMPÓN FICCIÓN CORAL
10331611-,103316,10331611-CRISANTEMO CORTADO FRESCO POMPÓN CUMBIA
10331612-,103316,10331612-CRISANTEMO CORTADO FRESCO POMPÓN CANTATA OSCURA
10331613-,103316,10331613-CRISANTEMO CORTADO FRESCO POMPÓN LINEKER OSCURO
10331614-,103316,10331614-CRISANTEMO CORTADO FRESCO POMPÓN DIPPER
10331615-,103316,10331615-CRISANTEMO CORTADO FRESCO POMPÓN ROSADO ELITE
10331616-,103316,10331616-CRISANTEMO CORTADO FRESCO POMPÓN BLANCO ELITE
10331617-,103316,10331617-CRISANTEMO CORTADO FRESCO POMPÓN AMARILLO ELITE
10331618-,103316,10331618-CRISANTEMO CORTADO FRESCO POMPÓN FACTOR
10331619-,103316,10331619-CRISANTEMO CORTADO FRESCO POMPÓN FICCIÓN
10331620-,103316,10331620-CRISANTEMO CORTADO FRESCO POMPÓN FUERZA
10331621-,103316,10331621-CRISANTEMO CORTADO FRESCO POMPÓN REAGAN MEJORADO
10331622-,103316,10331622-CRISANTEMO CORTADO FRESCO POMPÓN LIFE
10331623-,103316,10331623-CRISANTEMO CORTADO FRESCO POMPÓN MANAGUA ANARANJADO
10331624-,103316,10331624-CRISANTEMO CORTADO FRESCO POMPÓN NOVEDSD BRONCE COCARDE
10331625-,103316,10331625-CRISANTEMO CORTADO FRESCO POMPÓN REAGAN ANARANJADO
10331626-,103316,10331626-CRISANTEMO CORTADO FRESCO POMPÓN ORINOCO
10331627-,103316,10331627-CRISANTEMO CORTADO FRESCO POMPÓN PETRA
10331628-,103316,10331628-CRISANTEMO CORTADO FRESCO POMPÓN BALSAS ROSADO
10331629-,103316,10331629-CRISANTEMO CORTADO FRESCO POMPÓN MONA LISA ROSADO
10331630-,103316,10331630-CRISANTEMO CORTADO FRESCO POMPÓN REAGAN ROSADO
10331631-,103316,10331631-CRISANTEMO CORTADO FRESCO POMPÓN MARFIL REAGAN
10331632-,103316,10331632-CRISANTEMO CORTADO FRESCO POMPÓN REAGAN ROSADO
10331633-,103316,10331633-CRISANTEMO CORTADO FRESCO POMPÓN REBASCO
10331634-,103316,10331634-CRISANTEMO CORTADO FRESCO POMPÓN REDOCK
10331635-,103316,10331635-CRISANTEMO CORTADO FRESCO POMPÓN SALMÓN LINEKER
10331636-,103316,10331636-CRISANTEMO CORTADO FRESCO POMPÓN SHEBA
10331637-,103316,10331637-CRISANTEMO CORTADO FRESCO POMPÓN SIRIUS
10331638-,103316,10331638-CRISANTEMO CORTADO FRESCO POMPÓN REAGAN ESPLÉNDIDO
10331639-,103316,10331639-CRISANTEMO CORTADO FRESCO POMPÓN REAGAN SOLEADO
10331640-,103316,10331640-CRISANTEMO CORTADO FRESCO POMPÓN TINA
10331641-,103316,10331641-CRISANTEMO CORTADO FRESCO POMPÓN VERO
10331642-,103316,10331642-CRISANTEMO CORTADO FRESCO POMPÓN VOLARE
10331643-,103316,10331643-CRISANTEMO CORTADO FRESCO POMPÓN VIDA BLANCA
10331644-,103316,10331644-CRISANTEMO CORTADO FRESCO POMPÓN REGAN BLANCO
10331645-,103316,10331645-CRISANTEMO CORTADO FRESCO POMPÓN RINO BLANCO
10331646-,103316,10331646-CRISANTEMO CORTADO FRESCO POMPÓN VERO AMARILLO
10331647-,103316,10331647-CRISANTEMO CORTADO FRESCO POMPÓN ZENITH
1033171-,103317,10331701-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON ANNECY OSCURA
1033172-,103317,10331702-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON 
1033173-,103317,10331703-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON ATLANTIS ROSADO
1033174-,103317,10331704-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON ELEONORA BRONCE
1033175-,103317,10331705-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON ELEONORA LILA
1033176-,103317,10331706-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON ELEONORA ROSADO
1033177-,103317,10331707-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON ELEONORA NIEVE
1033178-,103317,10331708-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON ELEONORA AMARILLO
1033179-,103317,10331709-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON IDEA
10331710-,103317,10331710-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON IVANNA PÚRPURA
10331711-,103317,10331711-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON MINKA ROSADO
10331712-,103317,10331712-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON LISTO
10331713-,103317,10331713-CRISANTEMO CORTADO FRESCO ESPOLLADO CREMON SINATRA
10331714-,103317,10331714-CRISANTEMO CORTADO FRESCO ROVER ROJO
1033181-,103318,10331801-CRISANTEMO CORTADO FRESCO ESPOLLADO BLAZE
1033182-,103318,10331802-CRISANTEMO CORTADO FRESCO ESPOLLADO BESO DE FOOTBALL
1033183-,103318,10331803-CRISANTEMO CORTADO FRESCO ESPOLLADO FOOTBALL LAVANDA / ROSADO
1033184-,103318,10331804-CRISANTEMO CORTADO FRESCO ESPOLLADO FOOTBALL RESOUCI
1033185-,103318,10331805-CRISANTEMO CORTADO FRESCO ESPOLLADO FOOTBAL BLANCO
1033186-,103318,10331806-CRISANTEMO CORTADO FRESCO ESPOLLADO FOOTBALL AMARILLO
1033187-,103318,10331807-CRISANTEMO CORTADO FRESCO ESPOLLADO PROMENADE
1033188-,103318,10331808-CRISANTEMO CORTADO FRESCO ESPOLLADO REBONNET
1033189-,103318,10331809-CRISANTEMO CORTADO FRESCO ESPOLLADO REFLEX
10331810-,103318,10331810-CRISANTEMO CORTADO FRESCO ESPOLLADO RESIDENCE
10331811-,103318,10331811-CRISANTEMO CORTADO FRESCO ESPOLLADO RESOMEE PERLA
10331812-,103318,10331812-CRISANTEMO CORTADO FRESCO ESPOLLADO RESOUCI
1033191-,103319,10331901-CRISANTEMO SPIDER CORTADO FRESCO ANASTASIA BRONCE
1033192-,103319,10331902-CRISANTEMO SPIDER CORTADO FRESCO ANASTASIA BRONCE OSCURO
1033193-,103319,10331903-CRISANTEMO SPIDER CORTADO FRESCO ANASTASIA VERDE
1033194-,103319,10331904-CRISANTEMO SPIDER CORTADO FRESCO ANASTASIA LILA
1033195-,103319,10331905-CRISANTEMO SPIDER CORTADO FRESCO ANASTASIA ROSADO
1033196-,103319,10331906-CRISANTEMO SPIDER CORTADO FRESCO ANASTASIA PÚRPURA
1033197-,103319,10331907-CRISANTEMO SPIDER CORTADO FRESCO ANASTASIA SOLEADO
1033198-,103319,10331908-CRISANTEMO SPIDER CORTADO FRESCO ANASTASIA BLANCO
1033199-,103319,10331909-CRISANTEMO SPIDER CORTADO FRESCO BRADFORD
10331910-,103319,10331910-CRISANTEMO SPIDER CORTADO FRESCO DELISTAR BLANCO
10331911-,103319,10331911-CRISANTEMO SPIDER CORTADO FRESCO DELISTAR AMARILLO
10331912-,103319,10331912-CRISANTEMO SPIDER CORTADO FRESCO MINKA
10331913-,103319,10331913-CRISANTEMO SPIDER CORTADO FRESCO NATASHA SOLEADO
10331914-,103319,10331914-CRISANTEMO SPIDER CORTADO FRESCO PIROUETTE
10331915-,103319,10331915-CRISANTEMO SPIDER CORTADO FRESCO REFLEJO
10331916-,103319,10331916-CRISANTEMO SPIDER CORTADO FRESCO REGATA
10331917-,103319,10331917-CRISANTEMO SPIDER CORTADO FRESCO RENDER
10331918-,103319,10331918-CRISANTEMO SPIDER CORTADO FRESCO REPERTORIO
10331919-,103319,10331919-CRISANTEMO SPIDER CORTADO FRESCO RESOLUTE
10331920-,103319,10331920-CRISANTEMO SPIDER CORTADO FRESCO RESOMAC
10331921-,103319,10331921-CRISANTEMO SPIDER CORTADO FRESCO TRÉBOL
10331922-,103319,10331922-CRISANTEMO SPIDER CORTADO FRESCO TALANTE BRONCE
10331923-,103319,10331923-CRISANTEMO SPIDER CORTADO FRESCO SUPER BLANCO
10331924-,103319,10331924-CRISANTEMO SPIDER CORTADO FRESCO SUPER AMARILLO
10331925-,103319,10331925-CRISANTEMO SPIDER CORTADO FRESCO TIERNO
10331926-,103319,10331926-CRISANTEMO SPIDER CORTADO FRESCO ZEMBIA
1033201-,103320,10332001-CRISANTEMO CORTADO FRESCO POMPÓN ANECY ROSADO
1033202-,103320,10332002-CRISANTEMO CORTADO FRESCO POMPÓN ARDILO ROYAL
1033203-,103320,10332003-CRISANTEMO CORTADO FRESCO POMPÓN ATHOS
1033204-,103320,10332004-CRISANTEMO CORTADO FRESCO POMPÓN BIARRITZ
1033205-,103320,10332005-CRISANTEMO CORTADO FRESCO POMPÓN BRADFORD ANARANJADO
1033206-,103320,10332006-CRISANTEMO CORTADO FRESCO POMPÓN BRADFORD
1033207-,103320,10332007-CRISANTEMO CORTADO FRESCO POMPÓN ESPERMA
1033208-,103320,10332008-CRISANTEMO CORTADO FRESCO POMPÓN CANDOR
1033209-,103320,10332009-CRISANTEMO CORTADO FRESCO POMPÓN GALLARDÍA
10332010-,103320,10332010-CRISANTEMO CORTADO FRESCO POMPÓN DÉCIMA
10332011-,103320,10332012-CRISANTEMO CORTADO FRESCO POMPÓN DELISUN
10332012-,103320,10332013-CRISANTEMO CORTADO FRESCO POMPÓN DION
10332013-,103320,10332014-CRISANTEMO CORTADO FRESCO POMPÓN DORENA
10332014-,103320,10332015-CRISANTEMO CORTADO FRESCO POMPÓN DUBLÍN
10332015-,103320,10332016-CRISANTEMO CORTADO FRESCO POMPÓN EVERGLADES
10332016-,103320,10332017-CRISANTEMO CORTADO FRESCO POMPÓN BUENMOZO
10332017-,103320,10332018-CRISANTEMO CORTADO FRESCO POMPÓN HASTING
10332018-,103320,10332019-CRISANTEMO CORTADO FRESCO POMPÓN HIGH FIVE
10332019-,103320,10332020-CRISANTEMO CORTADO FRESCO POMPÓN MUNDIAL MEJORADO
10332020-,103320,10332021-CRISANTEMO CORTADO FRESCO POMPÓN JUANES
10332021-,103320,10332022-CRISANTEMO CORTADO FRESCO POMPÓN KIATO VERDE
10332022-,103320,10332023-CRISANTEMO CORTADO FRESCO POMPÓN KIATO
10332023-,103320,10332024-CRISANTEMO CORTADO FRESCO POMPÓN KIWI
10332024-,103320,10332025-CRISANTEMO CORTADO FRESCO POMPÓN MADEIRA
10332025-,103320,10332026-CRISANTEMO CORTADO FRESCO POMPÓN MAGNETO
10332026-,103320,10332027-CRISANTEMO CORTADO FRESCO POMPÓN MARIMO
10332027-,103320,10332028-CRISANTEMO CORTADO FRESCO POMPÓN MATRIX
10332028-,103320,10332029-CRISANTEMO CORTADO FRESCO POMPÓN MILETTA
10332029-,103320,10332030-CRISANTEMO CORTADO FRESCO POMPÓN MONALISA
10332030-,103320,10332031-CRISANTEMO CORTADO FRESCO POMPÓN OMAHA
10332031-,103320,10332032-CRISANTEMO CORTADO FRESCO POMPÓN ORINOCO PÚRPURA
10332032-,103320,10332033-CRISANTEMO CORTADO FRESCO POMPÓN ORINOCO AMARILLO
10332033-,103320,10332034-CRISANTEMO CORTADO FRESCO POMPÓN VERDE PACÍFICO
10332034-,103320,10332035-CRISANTEMO CORTADO FRESCO POMPÓN BLANCO PUMA
10332035-,103320,10332036-CRISANTEMO CORTADO FRESCO POMPÓN AMARILLO PUMA
10332036-,103320,10332037-CRISANTEMO CORTADO FRESCO POMPÓN MUNDIAL PÚRPURA
10332037-,103320,10332038-CRISANTEMO CORTADO FRESCO POMPÓN REGATA
10332038-,103320,10332039-CRISANTEMO CORTADO FRESCO POMPÓN REMCO
10332039-,103320,10332040-CRISANTEMO CORTADO FRESCO POMPÓN ROYAL MUNDIAL
10332040-,103320,10332041-CRISANTEMO CORTADO FRESCO POMPÓN SABRINA
10332041-,103320,10332042-CRISANTEMO CORTADO FRESCO POMPÓN SHAKIRA BLANCO
10332042-,103320,10332043-CRISANTEMO CORTADO FRESCO POMPÓN SHARP
10332043-,103320,10332044-CRISANTEMO CORTADO FRESCO POMPÓN SHOCK
10332044-,103320,10332045-CRISANTEMO CORTADO FRESCO POMPÓN SIZZLE VERDE
10332045-,103320,10332046-CRISANTEMO CORTADO FRESCO POMPÓN SIZZLE ROSADO
10332046-,103320,10332047-CRISANTEMO CORTADO FRESCO POMPÓN SIZZLE
10332047-,103320,10332048-CRISANTEMO CORTADO FRESCO POMPÓN SIZZLE PÚRPURA
10332048-,103320,10332049-CRISANTEMO CORTADO FRESCO POMPÓN SIZZLE SALMÓN
10332049-,103320,10332050-CRISANTEMO CORTADO FRESCO POMPÓN SIZZLE AMARILLO
10332050-,103320,10332051-CRISANTEMO CORTADO FRESCO POMPÓN BANDERA ESPAÑOLA
10332051-,103320,10332052-CRISANTEMO CORTADO FRESCO POMPÓN STARBUST O COPO DE NIEVE
10332052-,103320,10332053-CRISANTEMO CORTADO FRESCO POMPÓN CISNE
10332053-,103320,10332054-CRISANTEMO CORTADO FRESCO POMPÓN TEDCHA ANARANJADO
10332054-,103320,10332055-CRISANTEMO CORTADO FRESCO POMPÓN TIERNO
10332055-,103320,10332056-CRISANTEMO CORTADO FRESCO POMPÓN OROPEL
10332056-,103320,10332057-CRISANTEMO CORTADO FRESCO POMPÓN TOQUE
10332057-,103320,10332058-CRISANTEMO CORTADO FRESCO POMPÓN TROYES
10332058-,103320,10332059-CRISANTEMO CORTADO FRESCO POMPÓN VALESCA
10332059-,103320,10332060-CRISANTEMO CORTADO FRESCO POMPÓN ANARANJADO VIKINGO
10332060-,103320,10332061-CRISANTEMO CORTADO FRESCO POMPÓN VIKINGO
10332061-,103320,10332062-CRISANTEMO CORTADO FRESCO POMPÓN RELOJ
10332062-,103320,10332063-CRISANTEMO CORTADO FRESCO POMPÓN AGUJA BLANCO
10332063-,103320,10332064-CRISANTEMO CORTADO FRESCO POMPÓN NOCHE BLANCA
10332064-,103320,10332065-CRISANTEMO CORTADO FRESCO POMPÓN ARTISTA AMARILLO
10332065-,103320,10332066-CRISANTEMO CORTADO FRESCO POMPÓN FICCIÓN AMARILLO
10332066-,103320,10332067-CRISANTEMO CORTADO FRESCO POMPÓN SHARP AMARILLO
1033211-,103321,10332101-CRISANTEMO CORTADO FRESCO POMPÓN ALMA
1033212-,103321,10332102-CRISANTEMO CORTADO FRESCO POMPÓN BARÓN
1033213-,103321,10332103-CRISANTEMO CORTADO FRESCO POMPÓN BERNARDO
1033214-,103321,10332104-CRISANTEMO CORTADO FRESCO POMPÓN BISTRO
1033215-,103321,10332105-CRISANTEMO CORTADO FRESCO POMPÓN BODEGA
1033216-,103321,10332106-CRISANTEMO CORTADO FRESCO POMPÓN BRISA
1033217-,103321,10332107-CRISANTEMO CORTADO FRESCO POMPÓN CENTELLA BRONCE
1033218-,103321,10332108-CRISANTEMO CORTADO FRESCO POMPÓN COSTA BLANCA
1033219-,103321,10332109-CRISANTEMO CORTADO FRESCO POMPÓN CRETA
10332110-,103321,10332110-CRISANTEMO CORTADO FRESCO POMPÓN DELIFLAME
10332111-,103321,10332111-CRISANTEMO CORTADO FRESCO POMPÓN DALILA
10332112-,103321,10332112-CRISANTEMO CORTADO FRESCO POMPÓN DÍGITO
10332113-,103321,10332113-CRISANTEMO CORTADO FRESCO POMPÓN EVILIO
10332114-,103321,10332114-CRISANTEMO CORTADO FRESCO POMPÓN FURENSE
10332115-,103321,10332115-CRISANTEMO CORTADO FRESCO POMPÓN GUÍA
10332116-,103321,10332116-CRISANTEMO CORTADO FRESCO POMPÓN KERRY
10332117-,103321,10332117-CRISANTEMO CORTADO FRESCO POMPÓN KESS
10332118-,103321,10332118-CRISANTEMO CORTADO FRESCO POMPÓN LIMA
10332119-,103321,10332119-CRISANTEMO CORTADO FRESCO POMPÓN LUPO
10332120-,103321,10332120-CRISANTEMO CORTADO FRESCO POMPÓN LINEKER ANARANJADO
10332121-,103321,10332121-CRISANTEMO CORTADO FRESCO POMPÓN PANUCO ROJO
10332122-,103321,10332122-CRISANTEMO CORTADO FRESCO POMPÓN COSTA ROSADO
10332123-,103321,10332123-CRISANTEMO CORTADO FRESCO POMPÓN RAFAEL
10332124-,103321,10332124-CRISANTEMO CORTADO FRESCO POMPÓN REFINE
10332125-,103321,10332125-CRISANTEMO CORTADO FRESCO POMPÓN REGALIZ
10332126-,103321,10332126-CRISANTEMO CORTADO FRESCO POMPÓN RENELLA
10332127-,103321,10332127-CRISANTEMO CORTADO FRESCO POMPÓN RETORNO
10332128-,103321,10332128-CRISANTEMO CORTADO FRESCO POMPÓN RÍO
10332129-,103321,10332129-CRISANTEMO CORTADO FRESCO POMPÓN SABAS
10332130-,103321,10332130-CRISANTEMO CORTADO FRESCO POMPÓN TARGET
10332131-,103321,10332131-CRISANTEMO CORTADO FRESCO POMPÓN TEXTO
10332132-,103321,10332132-CRISANTEMO CORTADO FRESCO POMPÓN CABALLO AMARILLO
1034151-,103415,10341501-BOUQUET CORTADO FRESCO DE ROSA AZUL O LAVANDA O PÚRPURA
1034161-,103416,10341601-BOUQUET CORTADO FRESCO DE CLAVEL BURGUNDI BI COLOR
1034171-,103417,10341701-BOUQUET CORTADO FRESCO DE MINI CLAVEL BURGUNDY
1034181-,103418,10341801-BOUQUET CORTADO FRESCO DE LIRIO ASIÁTICO BLACK OUT
1034191-,103419,10341901-BOUQUET CORTADO FRESCO DE CRISANTEMO POMPÓN MARGARITA
1034201-,103420,10342001-BOUQUET CORTADO FRESCO DE ASTROMELIA AGROPOLI
1034211-,103421,10342101-BOUQUET CORTADO FRESCO DE ORQUIDEA DENDROBIUM
1034221-,103422,10342201-BOUQUET CORTADO FRESCO DE ROSA CLAVEL PEONÍA
1035151-,103515,10351501-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA BURGUNDY BICOLOR
1035152-,103515,10351502-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA BURGUNDY
1035153-,103515,10351503-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA CINDERELLA
1035154-,103515,10351504-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA CREMA BICOLOR
1035155-,103515,10351505-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA CREMA
1035156-,103515,10351506-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA VERDE O PRADO
1035157-,103515,10351507-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA ROSADO FUERTE
1035158-,103515,10351508-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA VERDE CLARO
1035159-,103515,10351509-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA ROSADO CLARO
10351510-,103515,10351510-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA ANARANJADO BICOLOR
10351511-,103515,10351511-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA ANARANJADO
10351512-,103515,10351512-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA DURAZNO
10351513-,103515,10351513-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA MENTA BICOLOR
10351514-,103515,10351514-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA ROSADO BICOLOR
10351515-,103515,10351515-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA ROSADO
10351516-,103515,10351516-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA PÚRPURA BICOLOR
10351517-,103515,10351517-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA ROJO BICOLOR
10351518-,103515,10351518-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA ROJO
10351519-,103515,10351519-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA BLANCO
10351520-,103515,10351520-CLAVEL CORTADO FRESCO DE FLORACIÓN SENCILLA AMARILLO
1035161-,103516,10351601-CLAVEL CORTADO FRESCO MINI O SPRAY BURGUNDY
1035162-,103516,10351602-CLAVEL CORTADO FRESCO MINI O SPRAY 
1035163-,103516,10351603-CLAVEL CORTADO FRESCO MINI O SPRAY ROSADO FUERTE
1035164-,103516,10351604-CLAVEL CORTADO FRESCO MINI O SPRAY LAVANDA
1035165-,103516,10351605-CLAVEL CORTADO FRESCO MINI O SPRAY ROSADO CLARO
1035166-,103516,10351606-CLAVEL CORTADO FRESCO MINI O SPRAY ANARANJADO
1035167-,103516,10351607-CLAVEL CORTADO FRESCO MINI O SPRAY DURAZNO
1035168-,103516,10351608-CLAVEL CORTADO FRESCO MINI O SPRAY MENTA
1035169-,103516,10351609-CLAVEL CORTADO FRESCO MINI O SPRAY ROSADO
10351610-,103516,10351610-CLAVEL CORTADO FRESCO MINI O SPRAY PÚRPURA BICOLOR
10351611-,103516,10351611-CLAVEL CORTADO FRESCO MINI O SPRAY PÚRPURA
10351612-,103516,10351612-CLAVEL CORTADO FRESCO MINI O SPRAY ROJO
10351613-,103516,10351613-CLAVEL CORTADO FRESCO MINI O SPRAY BLANCO
10351614-,103516,10351614-CLAVEL CORTADO FRESCO MINI O SPRAY AMARILLO
1036151-,103615,10361501-ORQUIDEA CYPRIPEDIUM CORTADA FRESCA VERDE
1036152-,103615,10361502-ORQUIDEA CYPRIPEDIUM CORTADA FRESCA FRANCIA
1036153-,103615,10361503-ORQUIDEA CYPRIPEDIUM CORTADA FRESCA PÚRPURA REY ARTURO
1036154-,103615,10361504-ORQUIDEA PAPHIOPEDILUM CORTADA FRESCA VERDE
1036155-,103615,10361505-ORQUIDEA ARANTHERA MAGGIE VIE CORTADA FRESCA
1036161-,103616,10361601-ORQUÍDEA MOCARA CORTADA FRESCA OMYAI
1036162-,103616,10361602-ORQUÍDEA MOCARA CORTADA FRESCA ROJA
1036163-,103616,10361603-ORQUÍDEA MOCARA CORTADA FRESCA CALIPSO
1036164-,103616,10361604-ORQUÍDEA MOCARA CORTADA FRESCA NORA
1036165-,103616,10361605-ORQUÍDEA MOCARA CORTADA FRESCA PANEE
1036171-,103617,10361701-ORQUÍDEA CATTLEYA CORTADA FRESCA BLANCA
1036172-,103617,10361702-ORQUÍDEA CATTLEYA CORTADA FRESCA R B LAVANDA
1036181-,103618,10361801-ORQUÍDEA DISA CORTADA FRESCA ROJA
1036182-,103618,10361802-ORQUÍDEA DISA CORTADA FRESCA ANARANJADA
1036183-,103618,10361803-ORQUÍDEA DISA CORTADA FRESCA ROSADA
1036184-,103618,10361804-ORQUÍDEA DISA CORTADA FRESCA ANARANJADA Y AMARILLA BICOLOR
1036185-,103618,10361805-ORQUÍDEA DISA CORTADA FRESCA DURAZNO Y AMARILLA BICOLOR
1036186-,103618,10361806-ORQUÍDEA DISA CORTADA FRESCA AMARILLA Y ROJA BICOLOR
1036191-,103619,10361901-ORQUÍDEA ARACHNIS CORTADA FRESCA JAMES STORIE ROJA
1036192-,103619,10361902-ORQUÍDEA ARACHNIS CORTADA FRESCA MAGGIE OEI ROJA
1036193-,103619,10361903-ORQUÍDEA ARACHNIS CORTADA FRESCA MAGGIE OEI AMARILLA
